Participant ID,Participant Log ID,Date,Setting,Display Width (pixels),Display Height (pixels),Screen Width (cm),Screen Height (cm),Distance From Screen (cm),Screen Recording Start Time (Unix milliseconds),Screen Recording Start Time (Wall Clock UTC),Gender,Age,Self-Reported Race,Self-Reported Skin Color,Self-Reported Eye Color,Facial Hair,Self-Reported Vision,Touch Typer,Self-Reported Handedness,Weather,Pointing Device,Notes,Time of day,Duration
P_01,1491423217564,4/5/2017,Laptop,1440,900,33.17,20.73,60,1491423552200,4/5/2017 20:36,Male,25,Asian,1,Dark Brown to Brown,None,Normal,Yes,Right,Cloudy,Trackpad,Did not see the button at the bottom of the Google page. Had to briefly intervene to show.,16:00,16:40:00
P_02,1491487691210,4/6/2017,Laptop,1440,900,33.17,20.73,55,1491488318800,4/6/2017 14:41,Male,22,Asian,1,Dark Brown to Brown,None,Normal,No,Right,Indoors,Trackpad,,10:00,22:43:00
P_07,1491577862552,4/7/2017,Laptop,1440,900,33.17,20.73,,1491579755600,4/7/2017 16:03,Female,27,Asian,4,Dark Brown to Brown,None,Glasses,No,Right,Sunny,Trackpad,No video for the thankyou page,11:00,20:38:00
P_14,1491927757191,4/11/2017,Laptop,1440,900,33.17,20.73,65,1491928301500,4/11/2017 16:50,Male,29,Asian,2,Dark Brown to Brown,Beard,Normal,Yes,Right,Sunny,Mouse,,12:00,18:22:00
P_15,1491933738937,4/11/2017,Laptop,1440,900,33.17,20.73,,1491934004100,4/11/2017 18:21,Female,26,Asian,2,Dark Brown to Brown,None,Normal,No,Right,Sunny,Trackpad,No video for the thankyou page,14:00,14:56:00
P_24,1492106295971,4/13/2017,Laptop,1440,900,33.17,20.73,63,1492106597000,4/13/2017 18:23,Male,28,Asian,1,Dark Brown to Brown,None,Contacts,No,Left,Sunny,Mouse,,14:00,18:54:00
P_28,1492182876610,4/14/2017,Laptop,1440,900,33.17,20.73,52,1492183205100,4/14/2017 15:40,Female,23,Black,5,Dark Brown to Brown,None,Contacts,No,Right,Indoors,Trackpad,No video for the thankyou page. Went to Google.com while in the search task,11:00,19:26:00
P_29,1492189262993,4/14/2017,Laptop,1440,900,33.17,20.73,54,1492189553700,4/14/2017 17:22,Male,27,Asian,3,Dark Brown to Brown,Beard,Glasses,No,Right,Indoors,Trackpad,No video for the thankyou page,13:00,16:05:00
P_33,1492456607850,4/17/2017,Laptop,1440,900,33.17,20.73,69,1492456885900,4/17/2017 19:39,Male,34,White,1,Dark Brown to Brown,None,Normal,Yes,Right,Cloudy,Trackpad,No video for the thankyou page. No Tobii gaze data from serp instructions and on,15:00,17:00:00
P_34,1492521777728,4/18/2017,Laptop,1440,900,33.17,20.73,51,,,Female,26,Asian,2,Dark Brown to Brown,None,Normal,No,Right,Sunny,Trackpad,No screen recording,9:00,24:29:00
P_37,1492546151879,4/18/2017,Laptop,1440,900,33.17,20.73,53,1492546680200,4/18/2017 20:32,Female,26,Asian,2,Dark Brown to Brown,None,Normal,Yes,Right,Indoors,Trackpad,No video for the dot_test_final page,16:00,13:34:00
P_38,1492618354027,4/19/2017,Laptop,1440,900,33.17,20.73,50,1492621379700,4/19/2017 17:23,Female,25,White,1,Gray to Blue or Pink,None,Normal,Yes,Right,Cloudy,Trackpad,No video for the dot_test_final page,12:00,19:08:00
P_39,1492629177607,4/19/2017,Laptop,1440,900,33.17,20.73,52,1492629477800,4/19/2017 19:51,Female,23,Other,2,Dark Brown to Brown,None,Normal,Yes,Right,Indoors,Trackpad,No video for the dot_test_final page. No screen recording,15:00,33:03:00
P_47,1492789383745,4/21/2017,Laptop,1440,900,33.17,20.73,50,1492790137900,4/21/2017 16:06,Female,26,Asian,2,Dark Brown to Brown,None,Glasses,Yes,Right,Cloudy,Trackpad,,11:00,10:41:00
P_48,1493039349728,4/24/2017,Laptop,1440,900,33.17,20.73,59,1493039562800,4/24/2017 13:28,Female,28,White,2,Dark Brown to Brown,None,Normal,Yes,Right,Sunny,Trackpad,,9:00,14:14:00
P_50,1493046335268,4/24/2017,Laptop,1440,900,33.17,20.73,62,1493046613700,4/24/2017 15:23,Male,26,Other,2,Dark Brown to Brown,Beard,Normal,Yes,Right,Indoors,Trackpad,No video for the thankyou page,11:00,12:18:00
P_51,1493057462712,4/24/2017,Laptop,1440,900,33.17,20.73,68,1493055607500,4/24/2017 18:13,Male,-,Other,1,Dark Brown to Brown,None,Normal,Yes,Right,Cloudy,Trackpad,,14:00,32:08:00
P_52,1493064746365,4/24/2017,Laptop,1440,900,33.17,20.73,54,,,Female,23,White,2,Dark Brown to Brown,None,Normal,Yes,Right,Cloudy,Trackpad,No screen recording,16:00,26:46:00
